Timestamp,Location Name,Total Count,Car Count,Motorcycle Count
2026-02-06 19:38:12,CCTV Kebon Kawung Paskal,0,0,0
2026-02-06 19:37:56,Persimpangan Sukahaji,36,28,7
2026-02-06 19:37:41,Perempatan PT Inti,3,1,1
2026-02-06 19:37:27,Pertigaan Cicadas Bandung,7,7,0
2026-02-06 19:37:13,Simpang Gedebage - Soekarno Hatta,1,1,0
2026-02-06 19:36:59,Gedebage Arah GBLA,8,8,0
2026-02-06 19:36:26,CCTV CICENDO Bandung,9,2,6
2026-02-06 19:36:10,Simpang Garuda - Rajawali Bandung,8,8,0
2026-02-06 19:35:54,Persimpangan Sukahaji,9,9,0
2026-02-06 19:35:41,Perempatan PT Inti,0,0,0
2026-02-06 19:35:27,Fly Over Kopo Leuwi Panjang,11,11,0
2026-02-06 19:35:14,Pertigaan Waas Batununggal,5,5,0
2026-02-06 19:35:03,Kircon Perempatan Binon Bandung,6,6,0
2026-02-06 19:34:50,Gedebage Arah GBLA,6,6,0
2026-02-06 19:34:36,Simpang Kordon,14,9,4
2026-02-06 19:34:05,Pertigaan Cijerah Bandung,0,0,0
2026-02-06 19:33:51,Simpang Pajajaran,20,20,0
2026-02-06 19:33:38,CCTV Kebon Kawung Paskal,2,2,0
2026-02-06 19:33:23,Persimpangan Sukahaji,1,1,0
2026-02-06 19:33:09,Simpang Gedebage - Soekarno Hatta,14,14,0
2026-02-06 19:32:54,SIMPANG TUGU KUJANG Kota Bogor,54,52,1
2026-02-06 19:32:39,Fly Over Kopo Leuwi Panjang,16,14,1
2026-02-06 19:32:26,Simpang Braga,0,0,0
2026-02-06 19:32:12,Pertigaan Waas Batununggal,14,14,0
2026-02-06 19:32:01,Simpang Kordon,15,15,0
2026-02-06 19:31:29,Simpang Pajajaran,20,17,2
2026-02-06 19:31:15,CCTV Kebon Kawung Paskal,4,4,0
2026-02-06 19:30:59,Fly Over Kopo Leuwi Panjang,9,9,0
2026-02-06 19:30:44,SIMPANG TUGU KUJANG Kota Bogor,36,28,7
2026-02-06 19:30:29,Fly Over Antapani,8,8,0
2026-02-06 19:30:14,Kircon Perempatan Binon Bandung,1,1,0
2026-02-06 19:30:00,Perempatan Laswi Gatsu Bandung,7,7,0
2026-02-06 19:29:46,Simpang Kordon,25,21,3
2026-02-06 19:29:32,Simpang Gedebage - Soekarno Hatta,17,17,0
2026-02-06 19:28:59,Simpang Pajajaran,8,8,0
2026-02-06 19:28:44,CCTV Kebon Kawung Paskal,5,5,0
2026-02-06 19:28:29,Jl Sudirman Bandung,2,2,0
2026-02-06 19:28:15,Simpang buah Batu Bandung,7,7,0
